pregunta_normalizada,final_pregunta_isAcusatoria
revisados los pliegos encontramos imposiciones contrarias a la ley de comercio cual es el del libreejercicio comercial estipulada claramente en la convocatoria y tambien contrarias al modelo depliegos elaborados por el sistema de compras publicas como es posible que se convoque a subastainversa de una excavadora de caracteristicas tecnicas que en el mercado y a precio normal seencuentra en con un presupuesto referencial de disculpen pero o es equivocaciono es intento de negociado por favor aclarar este punto,1
senores si tienen amarrado el proceso sencillamente indiquen que en este no se debe participarsalvo las personas interesadas esto debio haberse realizado por menor cuantia y con un anticipode por lo menos el por favor no nos crean ignorantes a los proveedores por favor aclarar este punto,1
señores en cuanto al requerimiento de experiencia especifica en venta de repuestos de maquinariapesada la misma se encuentran totalmente mal enfocada considerando que la misma tiene que ir enrelacion directa al objeto de contratacion debo recordarles que la camioneta objeto del presenteprocedimiento no es una maquinaria por otro favor indicar como sacar el certificado de noadeudar al gad de tiwintza de manera que no tengamos que viajar hasta las instalaciones paraconseguirlo el mencionado certificado debe ser considerado como requisito para la firma delcontrato no como parametro de calificacion espero se consideren estas observaciones y se tomenlos correctivos necesarios ya que se estan inobservando los principios de trato justo igualdad transparencia y participacion nacional que se establecen el el art de la lonscp no creen laduda de que el procedimiento esta direccionado solo para oferentes de la ciudad el sercop regulamucho estas observaciones por favor aclarar este punto,1
señores en cuanto al requerimiento de experiencia especifica en venta de repuestos de maquinariapesada la misma se encuentran totalmente mal enfocada considerando que la misma tiene que ir enrelacion directa al objeto de contratacion debo recordarles que la camioneta objeto del presenteprocedimiento no es una maquinaria por otro favor indicar como sacar el certificado de noadeudar al gad de tiwintza de manera que no tengamos que viajar hasta las instalaciones paraconseguirlo el mencionado certificado debe ser considerado como requisito para la firma delcontrato no como parametro de calificacion espero se consideren estas observaciones y se tomenlos correctivos necesarios ya que se estan inobservando los principios de trato justo igualdad transparencia y participacion nacional que se establecen el el art de la lonscp no creen laduda de que el procedimiento esta direccionado solo para oferentes de la ciudad el sercop regulamucho estas observaciones por favor aclarar este punto,1
las aclaraciones deben ser publicadas no por telefono de acuerdo a la ley rectificar ademas sipiden certificado de exclusividad no cabe subasta inversa para eso existe el regimen especial no noshagan perder el tiempo gracias deberian asesorarse mejor por favor aclarar este punto,1
senores sri buenos dias en relacion al requerimiento de armas importadas es de conocimientopublico que esto esta prohibido por parte del gobierno nacional como asi ustedes siendo instituciondel estado solicitan este tipo de armamento si hay una campana nacional que debemos consumir lonuestroy sobre el chaleco iiia estos chalecos tambien son importados y el valor de cada uno superael presupuesto referencial por parte de ustedes por favor aclarar este punto,1
el espiritu del sistema nacional de contratacion publica es fomentar la produccion nacional esdecir dar prioridad privilegio primero a lo ecuatoriano la ley no permite igualdad decondiciones entre los importados y los productos nacionales lean bien aqui no hay igualdad decondiciones no debe haberla lo nacional es primero lo otro es segundo plano entiendan eseconcepto por favor solo los paises desarrollados llegan hacerlo porque ellos consumen primero lode ellos lo importado es lo ultimo porque se complican tanto si un productor nacional tieneprocesos ganados cuenta con el certificado del iepi correspondiente porque ponen trabas acaso noes suficiente sean mas gratos con su pais y piensen mas en lo nuestro por favor aclarar este punto,1
sres gadpeo conforme el modelo de pliegos vigente el calculo de los valores a cumplir comoexperiencia especifica de acuerdo al presupuesto inicial del estado deben ser acumulativos favor especificar la cantidad de contratos permitidos y su valor en caso de no hacerlo se limita laparticipacion a diferentes proveedores y se violenta la normativa vigente presentaremos un reclamosobre este proceso solicitando la suspension del mismo al sercop hasta que la entidad justifique suextrano proceder por favor aclarar este punto,1
buenos dias favor aclarar en las especificaciones tecnicas porque se solicitan de forma detalladade como debe estar construidas las placas de control o amplificadores si un aferente podriaentregar una mejor solucion que no use esa tecnologia y el oferente dispongan de una mejor queutilice otros modulos chips o amplificadores en las placas piden borneras desmontables y otrospueden tener conectores piden modulo mp y otros tiene audios desde el mismo servidor piden quetenga rf receptor y emisor y otros tienen solo receptor piden aplicativos con descargas yotros tiene recien publicado una app mejor pero en pocos meses no se consigue esta cantidad dedescargas se no nota que el proceso esta viciado donde esta la libre competencia por favor aclarar este punto,1
saludos esta totlamente prohibido por ley el solicitar na marca especifica en las caracteristicasdel panel de alarma ustedes claramente solicitan un panel marca dsc modelo pc ya quesoliictan que se conecten zonas con el modulo pc se puede proponer utro fabricante consimilares y mejores caracteristicas tecnicas con certificaciones ul por favor aclarar este punto,1
senores las caracteristicas de las pinturas que solicitan corresponden a una marca especifia enecuador existen otras fabricas con iguales o mejores caracteristicas de la que solicitan recuerdenque no podemos ser descalificados por marca siempre que cumplan con las caracteristicas tecnicas ylas garantias necesarias por favor aclarar este punto,1
haqan un anaiisis de precios como otras instituciones si hacen anaiicen ei vaior que se va ensaiarios y beneficios sociaies y no adjudiquen a ias empresas que dan ei contrato por debajo de eseprecio porque es evidente que ia unica forma es expiotando a ios trabajadores ies doy un dato entreei y es ei costo de saiarios y beneficios sociaies para ias empresas de iimpieza ei resto esinsumos gastos financieros gastos de depreciacion maquinaria gastos administrativos iapropension marginai dei saiario como se iiama en economia es de para ia empresas de servicioscompimentarios es decir que cada doiar de saiario representa para ias empresas doiar centavos esto es porque por cada doiar se debe tambien cubrir costo de iess hacer reservas para pagos dedecimos fondos de reserva vacaciones por favor aclarar este punto,1
