pregunta_normalizada,final_pregunta_isAcusatoria
estimados senores se evidencia que el requisito solicitado limita la libre participacion ya que solo una marca cumple con esas caracteristicas por favor corregir el pliego y permitir equivalentes tecnicos,1
buenos dias solicitamos aclarar por que se exige experiencia exactamente igual al objeto contractual cuando la normativa permite experiencia similar este requisito resulta discriminatorio y direccionado,1
senores de la entidad al pedir certificados notarizados en esta etapa estan imponiendo una carga innecesaria y contraria a los principios de concurrencia favor eliminar este requisito,1
favor justificar tecnicamente por que se exige una sucursal en la ciudad antes de la adjudicacion ya que esto excluye a proveedores nacionales y restringe la participacion,1
la especificacion de procesador memoria y arquitectura coincide con un solo fabricante por lo que solicitamos ampliar los parametros para evitar direccionamiento de marca,1
estimados el plazo de entrega solicitado es irreal y solo podria ser cumplido por un proveedor previamente preparado favor modificarlo para garantizar igualdad de condiciones,1
se solicita eliminar la exigencia de carta de fabricante exclusiva porque genera dependencia con una sola marca y vulnera la libre competencia entre oferentes,1
buenas tardes el pliego contiene requisitos que no guardan relacion directa con el objeto de contratacion y parecen orientados a favorecer a un proveedor especifico,1
solicitamos aclarar por que se pide experiencia con montos identicos al presupuesto referencial ya que esto restringe injustificadamente la participacion de pequenas empresas,1
la entidad debe explicar por que solicita una certificacion internacional que no es indispensable para el servicio ya que esto puede constituir una barrera de entrada,1
senores no se entiende la razon de exigir equipos con caracteristicas cerradas cuando existen alternativas equivalentes en el mercado favor aceptar soluciones similares o superiores,1
favor revisar los tdr porque varios parametros tecnicos coinciden literalmente con el catalogo de una marca determinada lo cual evidencia posible direccionamiento,1
estimados solicitamos dejar sin efecto el requisito de contar con oficina local antes de la firma del contrato porque afecta la concurrencia y la igualdad de trato,1
la condicion de presentar contratos ejecutados solo con instituciones publicas resulta excluyente ya que la experiencia privada tambien demuestra capacidad tecnica,1
se solicita aclarar por que se exige personal con certificaciones tan especificas si el alcance del proyecto no requiere ese nivel de especializacion,1
buenos dias el requerimiento de garantia emitida unicamente por representante autorizado limita la participacion de distribuidores legalmente constituidos favor corregir,1
la exigencia de una marca o modelo determinado aunque no se nombre directamente se infiere por las especificaciones cerradas favor permitir equivalencias tecnicas,1
favor indicar el sustento legal para exigir documentos apostillados en etapa de oferta ya que esto contradice el principio de simplificacion administrativa,1
estimados los parametros de evaluacion otorgan puntaje excesivo a condiciones que no mejoran el servicio y parecen beneficiar a oferentes previamente definidos,1
solicitamos revisar el plazo de preguntas porque es demasiado corto para analizar documentos extensos y esto reduce la posibilidad real de participacion,1
senores la tabla de cumplimiento tecnico exige medidas exactas sin rangos de tolerancia lo cual puede descalificar ofertas funcionalmente equivalentes,1
el requisito de experiencia en una tecnologia especifica excluye soluciones compatibles y modernas que cumplen el mismo fin favor ampliar el criterio de aceptacion,1
favor aclarar por que se exige tener bodega propia en la ciudad cuando se puede cumplir con logistica contratada esta condicion es restrictiva,1
la entidad esta solicitando certificados que solo emite un fabricante por lo que se solicita aceptar documentos equivalentes de otros productores o distribuidores,1
buenas tardes el presupuesto y los requisitos parecen elaborados para un proveedor ya conocido solicitamos transparentar el estudio de mercado utilizado,1
