pregunta_normalizada,final_pregunta_isAcusatoria
Solicitar equipos con características que no existen en el mercado es excluyente.,1
El requerimiento de experiencia previa en procesos similares es excluyente.,1
El proceso no permite la participación de empresas pequeñas.,1
El proceso no permite la participación de empresas pequeñas.,1
El concurso parece estar diseñado para una empresa en particular.,1
El proceso exige condiciones que no están en los pliegos.,1
Solicitar marcas y modelos específicos va en contra de la normativa de contratación pública.,1
El requerimiento de experiencia previa en procesos similares es excluyente.,1
No se puede exigir experiencia en venta de maquinaria si el objeto no lo requiere.,1
Solicitar que la matriz esté en una región específica es discriminatorio.,1
El concurso parece favorecer a la empresa que siempre gana estos procesos.,1
"Por qué exigen características que solo una marca específica puede cumplir, esto parece direccionado.",1
La entidad no responde a las preguntas planteadas en el portal.,1
Solicitar equipos con características técnicas exactas de una marca es direccionamiento.,1
"La entidad debería fomentar la producción nacional, no favorecer importados.",1
No se puede exigir experiencia en venta de maquinaria si el objeto no lo requiere.,1
La solicitud de certificados de fábrica es discriminatoria y favorece a ciertos proveedores.,1
Solicitar experiencia en todas las provincias limita la participación de nuevos oferentes.,1
El requerimiento de experiencia previa en procesos similares es excluyente.,1
Solicitar certificados de exclusividad y hacer subasta es contradictorio.,1
"Por qué exigen características que solo una marca específica puede cumplir, esto parece direccionado.",1
Pedir oficinas en ciudades específicas excluye a empresas de otras regiones.,1
Solicitar experiencia en servicios cuando se compra un bien es incorrecto.,1
"Por qué exigen características que solo una marca específica puede cumplir, esto parece direccionado.",1
El concurso parece favorecer a la empresa que siempre gana estos procesos.,1
No se puede exigir experiencia en venta de maquinaria si el objeto no lo requiere.,1
El requerimiento de muestras físicas en esta etapa es innecesario y limita la participación.,1
Solicitar certificados de exclusividad y hacer subasta es contradictorio.,1
La entidad debería permitir la participación de productos homologados.,1
Solicitar certificados de exclusividad y hacer subasta es contradictorio.,1
Solicitar experiencia en mantenimiento cuando el proceso es de compra de bienes es incorrecto.,1
Solicitar experiencia en proyectos que no existen es absurdo.,1
