contract_id,pregunta_id,pregunta,sum_pregunta_isAcusatoria,final_pregunta_isAcusatoria
9000000,9900000,"Señores de la comisión técnica, consideramos que las especificaciones técnicas resultan excesivas y favorecen a quienes ya conocen el proceso, debido a que no se evidencia una justificación técnica suficiente; por lo tanto, solicitamos que se elimine esta restricción del pliego.",1,1
9000001,9900001,"Solicitamos respetuosamente, se solicita revisar el plazo de entrega, pues resultan excesivas y favorecen a quienes ya conocen el proceso y podría afectar la transparencia del procedimiento; en consecuencia, pedimos que se revise esta condición antes de continuar con el proceso.",1,1
9000002,9900002,"Señores de la comisión técnica, observamos que la metodología de evaluación no guardan relación proporcional con el objeto del contrato. Esta situación podría impedir la participación de oferentes que cumplen con soluciones técnicamente válidas, por lo que solicitamos se aclare y se corrija este punto.",1,1
9000003,9900003,"Señores de la comisión técnica, requerimos una aclaración sobre la calificación del personal técnico, porque generan una ventaja indebida para ciertos participantes. De mantenerse esta condición, el proceso podría no garantizar igualdad de oportunidades; por ello, solicitamos que se indique el sustento normativo de esta exigencia.",1,1
9000004,9900004,"Estimados señores, solicitamos explicar por qué el formulario de oferta se mantienen con esos parámetros, considerando que generan una ventaja indebida para ciertos participantes. Para evitar posibles restricciones a la competencia, solicitamos que se indique el sustento normativo de esta exigencia.",1,1
9000005,9900005,"Solicitamos respetuosamente, luego de analizar la garantía solicitada, identificamos que evidencian un posible direccionamiento del proceso. Esta condición puede interpretarse como una limitación al principio de libre concurrencia, por lo cual solicitamos que se elimine esta restricción del pliego.",1,1
9000006,9900006,"Por medio de la presente, consideramos que la ponderación de la oferta podrían excluir de forma arbitraria a empresas calificadas, debido a que no se evidencia una justificación técnica suficiente; por lo tanto, solicitamos que se elimine esta restricción del pliego.",1,1
9000007,9900007,"Solicitamos respetuosamente, se solicita revisar las medidas indicadas, pues limitan injustificadamente la participación de otros oferentes y podría afectar la transparencia del procedimiento; en consecuencia, pedimos que se revise esta condición antes de continuar con el proceso.",1,1
9000008,9900008,"Señores de la comisión técnica, observamos que las certificaciones exigidas no justifican técnicamente la exclusión de alternativas equivalentes. Esta situación podría impedir la participación de oferentes que cumplen con soluciones técnicamente válidas, por lo que pedimos que se garantice la libre participación de todos los oferentes.",1,1
9000009,9900009,"Estimados miembros de la entidad, requerimos una aclaración sobre el presupuesto referencial, porque resultan excesivas y favorecen a quienes ya conocen el proceso. De mantenerse esta condición, el proceso podría no garantizar igualdad de oportunidades; por ello, pedimos que se modifique el requisito para evitar restricciones innecesarias.",1,1
9000010,9900010,"Señores de la comisión técnica, solicitamos explicar por qué el cronograma del proceso se mantienen con esos parámetros, considerando que limitan injustificadamente la participación de otros oferentes. Para evitar posibles restricciones a la competencia, solicitamos que se indique el sustento normativo de esta exigencia.",1,1
9000011,9900011,"Con base en las condiciones establecidas, luego de analizar las certificaciones exigidas, identificamos que evidencian un posible direccionamiento del proceso. Esta condición puede interpretarse como una limitación al principio de libre concurrencia, por lo cual pedimos una justificación técnica clara y verificable.",1,1
9000012,9900012,"Estimados señores, consideramos que la visita técnica obligatoria parecen ajustarse a características de un solo fabricante, ya que no se evidencia una justificación técnica suficiente; por lo tanto, solicitamos que se elimine esta restricción del pliego.",1,1
9000013,9900013,"Solicitamos respetuosamente, se solicita revisar la marca solicitada, pues no guardan relación proporcional con el objeto del contrato y podría afectar la transparencia del procedimiento; en consecuencia, solicitamos que se elimine esta restricción del pliego.",1,1
9000014,9900014,"A la comisión encargada del proceso, observamos que la forma de evaluación podrían excluir de forma arbitraria a empresas calificadas. Esta situación podría impedir la participación de oferentes que cumplen con soluciones técnicamente válidas, por lo que pedimos que se garantice la libre participación de todos los oferentes.",1,1
9000015,9900015,"Estimados miembros de la entidad, requerimos una aclaración sobre los requisitos de experiencia, porque evidencian un posible direccionamiento del proceso. De mantenerse esta condición, el proceso podría no garantizar igualdad de oportunidades; por ello, solicitamos que se permita la participación con alternativas equivalentes.",1,1
9000016,9900016,"Solicitamos respetuosamente, solicitamos explicar por qué la forma de evaluación se mantienen con esos parámetros, considerando que parecen diseñadas para restringir la libre concurrencia. Para evitar posibles restricciones a la competencia, solicitamos que se amplíen los rangos técnicos solicitados.",1,1
9000017,9900017,"Luego de revisar los documentos del proceso, luego de analizar la visita técnica obligatoria, identificamos que podrían vulnerar el principio de igualdad de trato. Esta condición puede interpretarse como una limitación al principio de libre concurrencia, por lo cual pedimos que se garantice la libre participación de todos los oferentes.",1,1
9000018,9900018,"Solicitamos respetuosamente, consideramos que el presupuesto referencial parecen ajustarse a características de un solo fabricante, puesto que no se evidencia una justificación técnica suficiente; por lo tanto, pedimos que se garantice la libre participación de todos los oferentes.",1,1
9000019,9900019,"Estimados miembros de la entidad, se solicita revisar los requisitos de experiencia, pues generan una ventaja indebida para ciertos participantes y podría afectar la transparencia del procedimiento; en consecuencia, pedimos que se revise la condición porque afecta la pluralidad de ofertas.",1,1
9000020,9900020,"Solicitamos respetuosamente, observamos que el requerimiento de equipos no guardan relación proporcional con el objeto del contrato. Esta situación podría impedir la participación de oferentes que cumplen con soluciones técnicamente válidas, por lo que pedimos que se modifique el requisito para evitar restricciones innecesarias.",1,1
9000021,9900021,"Estimados miembros de la entidad, requerimos una aclaración sobre el plazo de entrega, porque generan una ventaja indebida para ciertos participantes. De mantenerse esta condición, el proceso podría no garantizar igualdad de oportunidades; por ello, solicitamos que se indique el sustento normativo de esta exigencia.",1,1
9000022,9900022,"Estimados miembros de la entidad, solicitamos explicar por qué la metodología de evaluación se mantienen con esos parámetros, considerando que no guardan relación proporcional con el objeto del contrato. Para evitar posibles restricciones a la competencia, pedimos que se revise la condición porque afecta la pluralidad de ofertas.",1,1
9000023,9900023,"A la comisión encargada del proceso, luego de analizar la visita técnica obligatoria, identificamos que favorecen claramente a una marca determinada. Esta condición puede interpretarse como una limitación al principio de libre concurrencia, por lo cual solicitamos que se indique el sustento normativo de esta exigencia.",1,1
9000024,9900024,"Señores de la comisión técnica, consideramos que el presupuesto referencial no justifican técnicamente la exclusión de alternativas equivalentes, debido a que no se evidencia una justificación técnica suficiente; por lo tanto, pedimos que se revise esta condición antes de continuar con el proceso.",1,1
9000025,9900025,"Por medio de la presente, se solicita revisar la ponderación de la oferta, pues evidencian un posible direccionamiento del proceso y podría afectar la transparencia del procedimiento; en consecuencia, pedimos que se revise esta condición antes de continuar con el proceso.",1,1
9000026,9900026,"En relación con el pliego publicado, observamos que las condiciones del pliego parecen diseñadas para restringir la libre concurrencia. Esta situación podría impedir la participación de oferentes que cumplen con soluciones técnicamente válidas, por lo que solicitamos que se indique el sustento normativo de esta exigencia.",1,1
9000027,9900027,"Luego de revisar los documentos del proceso, requerimos una aclaración sobre las especificaciones técnicas, porque podrían vulnerar el principio de igualdad de trato. De mantenerse esta condición, el proceso podría no garantizar igualdad de oportunidades; por ello, pedimos que se revise esta condición antes de continuar con el proceso.",1,1
9000028,9900028,"Estimados miembros de la entidad, solicitamos explicar por qué las medidas indicadas se mantienen con esos parámetros, considerando que limitan injustificadamente la participación de otros oferentes. Para evitar posibles restricciones a la competencia, solicitamos que se elimine esta restricción del pliego.",1,1
9000029,9900029,"Por medio de la presente, luego de analizar la garantía solicitada, identificamos que parecen estar direccionadas a un proveedor específico. Esta condición puede interpretarse como una limitación al principio de libre concurrencia, por lo cual solicitamos que se elimine esta restricción del pliego.",1,1
9000030,9900030,"Por medio de la presente, consideramos que la ficha técnica podrían beneficiar a empresas previamente determinadas, considerando que no se evidencia una justificación técnica suficiente; por lo tanto, pedimos que se revise esta condición antes de continuar con el proceso.",1,1
9000031,9900031,"Luego de revisar los documentos del proceso, se solicita revisar las condiciones del pliego, pues generan una ventaja indebida para ciertos participantes y podría afectar la transparencia del procedimiento; en consecuencia, solicitamos que se permita la participación con alternativas equivalentes.",1,1
9000032,9900032,"Por medio de la presente, observamos que el formulario de oferta parecen ajustarse a características de un solo fabricante. Esta situación podría impedir la participación de oferentes que cumplen con soluciones técnicamente válidas, por lo que solicitamos que se indique el sustento normativo de esta exigencia.",1,1
9000033,9900033,"Con base en las condiciones establecidas, requerimos una aclaración sobre las medidas indicadas, porque parecen diseñadas para restringir la libre concurrencia. De mantenerse esta condición, el proceso podría no garantizar igualdad de oportunidades; por ello, solicitamos se aclare y se corrija este punto.",1,1
9000034,9900034,"A la comisión encargada del proceso, solicitamos explicar por qué el objeto de contratación se mantienen con esos parámetros, considerando que generan una ventaja indebida para ciertos participantes. Para evitar posibles restricciones a la competencia, solicitamos se aclare y se corrija este punto.",1,1
9000035,9900035,"Con base en las condiciones establecidas, luego de analizar los requisitos de experiencia, identificamos que limitan injustificadamente la participación de otros oferentes. Esta condición puede interpretarse como una limitación al principio de libre concurrencia, por lo cual pedimos que se modifique el requisito para evitar restricciones innecesarias.",1,1
9000036,9900036,"Luego de revisar los documentos del proceso, consideramos que el plazo de entrega favorecen claramente a una marca determinada, en vista de que no se evidencia una justificación técnica suficiente; por lo tanto, pedimos que se modifique el requisito para evitar restricciones innecesarias.",1,1
9000037,9900037,"Por medio de la presente, se solicita revisar la documentación solicitada, pues crean condiciones desiguales para los oferentes y podría afectar la transparencia del procedimiento; en consecuencia, pedimos que se revise la condición porque afecta la pluralidad de ofertas.",1,1
